OSEBuildingID,BuildingType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,SteamRatio,ElectricityRatio,NaturalGasRatio,SurfacePerBuilding,SurfacePerFloor,ParkingRatio,BuildingRatio,building_age
571,NonResidential,Northwest Center Industries,Greater Duwamish,1.0,2,98024,0,98024,Warehouse,94.0,1988334.5,42.25,0.0,0.6905462838370505,0.3094539676296921,98024.0,49012.0,0.0,1.0,36
573,NonResidential,617 Eastlake,Lake Union,1.0,5,144573,66620,77953,Office,62.0,5135040.0,35.8,0.0,0.9999998052595501,0.0,77953.0,15590.6,0.46080526792692966,0.5391947320730703,35
574,NonResidential,(71371A) NORTHGATE Macy's,North,1.0,2,302812,0,302812,Retail,97.0,7290824.5,129.29,0.0,0.7667569010884846,0.23324303033216615,302812.0,151406.0,0.0,1.0,75
577,NonResidential,NorthWay West Building,Northwest,1.0,6,86483,0,86483,Office,56.0,6361236.5,44.35,0.0,0.9999999213989292,0.0,86483.0,14413.833333333334,0.0,1.0,44
578,NonResidential,Pacific Plumbing Supply,Delridge,1.0,1,51600,0,51600,Warehouse,75.0,1124543.125,22.1,0.0,0.7251905079229398,0.27480938092080726,51600.0,51600.0,0.0,1.0,49
579,NonResidential,Jones Stevedoring Seattle Building,Delridge,1.0,1,140520,0,140520,Warehouse,61.0,2225512.0,57.73,0.0,0.5888640456667948,0.4111359543332051,140520.0,140520.0,0.0,1.0,57
580,NonResidential,PEMCO,Magnolia / Queen Anne,1.0,5,154029,62380,91649,Office,95.0,4636396.5,58.88,0.0,0.8758269487952551,0.12417294336237204,91649.0,18329.8,0.4049886709645586,0.5950113290354414,39
584,NonResidential,Lenci Corporation,Greater Duwamish,1.0,1,50417,0,50417,Warehouse,14.0,1847401.0,58.67,0.0,0.4628215530899897,0.5371784469100104,50417.0,50417.0,0.0,1.0,45
586,NonResidential,"SEATTLE, WA-0106",North,1.0,2,168619,0,168619,Retail,78.0,6455828.5,91.1,0.0,0.8452643994492729,0.15473552310133393,168619.0,84309.5,0.0,1.0,60
589,NonResidential,1260 Mercer,Lake Union,1.0,4,175885,71385,104500,Office,91.0,6486377.5,45.22,0.0,0.9999999229153714,0.0,104500.0,26125.0,0.4058617846888592,0.5941382153111407,25
590,NonResidential,4727 Building,Greater Duwamish,1.0,2,104786,0,104786,Warehouse,93.0,1028376.875,23.86,0.0,0.6483206849628936,0.3516794365878754,104786.0,52393.0,0.0,1.0,56
595,NonResidential,McKinstry SEA - 220 S Dawson Office,Greater Duwamish,1.0,1,53620,0,53620,Office,86.0,2058955.25,22.12,0.0,0.918224910424838,0.08177496815435886,53620.0,53620.0,0.0,1.0,77
596,NonResidential,5050,Greater Duwamish,1.0,1,50008,0,50008,Office,62.0,3202213.0,65.3,0.0,0.7091461436200528,0.2908535440959112,50008.0,50008.0,0.0,1.0,87
597,NonResidential,635 Elliott - South Bldg.,Magnolia / Queen Anne,1.0,4,291176,100176,191000,Office,98.0,6657348.5,49.74,0.0,0.9891504102571768,0.01084936442789498,191000.0,47750.0,0.34403934390196994,0.65596065609803,16
598,NonResidential,4225 2nd Ave So.,Greater Duwamish,1.0,1,50832,0,50832,Warehouse,63.0,2551022.25,107.16,0.0,0.24068429822593668,0.759315995773851,50832.0,50832.0,0.0,1.0,68
599,NonResidential,Uwajimaya (Seattle 5),Greater Duwamish,1.0,1,76354,0,76354,Warehouse,70.0,2843033.5,20.29,0.0,0.9964441150623093,0.003555709069203722,76354.0,76354.0,0.0,1.0,54
600,NonResidential,Merlino Foods Building,Greater Duwamish,1.0,1,98480,0,98480,Warehouse,65.0,2831565.5,39.5,0.0,0.8487697000122371,0.1512301234069987,98480.0,98480.0,0.0,1.0,69
